Fecha,TerminoCosteHorario,TipoPrecio,Hour,Ctd,datetime
2020-01-02,FEU,Z02,22,0.12196709698,2020-01-02 22:00:00
2020-01-02,FEU,Z03,22,0.12196709698,2020-01-02 22:00:00
2020-01-02,FEU,Z01,23,0.09960420974,2020-01-02 23:00:00
2020-01-02,FEU,Z02,23,0.05098538174,2020-01-02 23:00:00
2020-01-02,FEU,Z03,23,0.1183142005,2020-01-02 23:00:00
2020-01-02,FEU,Z01,24,0.09375846366,2020-01-03 00:00:00
2020-01-02,FEU,Z02,24,0.04533482268,2020-01-03 00:00:00
2020-01-02,FEU,Z03,24,0.04845651654,2020-01-03 00:00:00
2020-01-02,FEU,Z01,3,0.09742029974,2020-01-02 03:00:00
2020-01-02,FEU,Z02,3,0.04832376798,2020-01-02 03:00:00
2020-01-02,FEU,Z03,3,0.04526868478,2020-01-02 03:00:00
2020-01-02,FEU,Z01,4,0.0957325847,2020-01-02 04:00:00
2020-01-02,FEU,Z02,4,0.04667815796,2020-01-02 04:00:00
2020-01-02,FEU,Z03,4,0.04371577774,2020-01-02 04:00:00
2020-01-02,FEU,Z01,5,0.09529355072,2020-01-02 05:00:00
2020-01-02,FEU,Z02,5,0.04629952796,2020-01-02 05:00:00
2020-01-02,FEU,Z03,5,0.04331408276,2020-01-02 05:00:00
2020-01-02,FEU,Z01,6,0.09511271186,2020-01-02 06:00:00
2020-01-02,FEU,Z02,6,0.04617634808,2020-01-02 06:00:00
2020-01-02,FEU,Z03,6,0.04326182884,2020-01-02 06:00:00
2020-01-02,FEU,Z01,7,0.09924033128,2020-01-02 07:00:00
2020-01-02,FEU,Z02,7,0.05038560438,2020-01-02 07:00:00
2020-01-02,FEU,Z03,7,0.0474004571,2020-01-02 07:00:00
2020-01-02,FEU,Z01,8,0.10575564966,2020-01-02 08:00:00
2020-01-02,FEU,Z02,8,0.05682925068,2020-01-02 08:00:00
2020-01-02,FEU,Z03,8,0.06051285054,2020-01-02 08:00:00
2020-01-02,FEU,Z01,9,0.10680259644,2020-01-02 09:00:00
2020-01-02,FEU,Z02,9,0.05834132928,2020-01-02 09:00:00
2020-01-02,FEU,Z03,9,0.06166579534,2020-01-02 09:00:00
2020-01-03,FEU,Z01,1,0.09508311116,2020-01-03 01:00:00
2020-01-03,FEU,Z02,1,0.0463254163,2020-01-03 01:00:00
2020-01-03,FEU,Z03,1,0.04973021402,2020-01-03 01:00:00
2020-01-03,FEU,Z01,10,0.10794528242,2020-01-03 10:00:00
2020-01-03,FEU,Z02,10,0.05944132426,2020-01-03 10:00:00
2020-01-03,FEU,Z03,10,0.06280950432,2020-01-03 10:00:00
2020-01-03,FEU,Z01,11,0.1088505515,2020-01-03 11:00:00
2020-01-03,FEU,Z02,11,0.06037216732,2020-01-03 11:00:00
2020-01-03,FEU,Z03,11,0.0637339364,2020-01-03 11:00:00
2020-01-03,FEU,Z01,12,0.10751924452,2020-01-03 12:00:00
2020-01-03,FEU,Z02,12,0.05909044434,2020-01-03 12:00:00
2020-01-03,FEU,Z03,12,0.06240079142,2020-01-03 12:00:00
2020-01-03,FEU,Z01,13,0.1056484867,2020-01-03 13:00:00
2020-01-03,FEU,Z02,13,0.1243316265,2020-01-03 13:00:00
2020-01-03,FEU,Z03,13,0.0605564666,2020-01-03 13:00:00
2020-01-03,FEU,Z01,14,0.10433148872,2020-01-03 14:00:00
2020-01-03,FEU,Z02,14,0.12300245052,2020-01-03 14:00:00
2020-01-03,FEU,Z03,14,0.12300245052,2020-01-03 14:00:00
2020-01-03,FEU,Z01,15,0.10079177664,2020-01-03 15:00:00
2020-01-03,FEU,Z02,15,0.11943123044,2020-01-03 15:00:00
2020-01-03,FEU,Z03,15,0.11943123044,2020-01-03 15:00:00
2020-01-03,FEU,Z01,16,0.0989526266,2020-01-03 16:00:00
2020-01-03,FEU,Z02,16,0.1175758164,2020-01-03 16:00:00
2020-01-03,FEU,Z03,16,0.1175758164,2020-01-03 16:00:00
2020-01-03,FEU,Z01,17,0.10004623256,2020-01-03 17:00:00
2020-01-03,FEU,Z02,17,0.11867823836,2020-01-03 17:00:00
2020-01-03,FEU,Z03,17,0.11867823836,2020-01-03 17:00:00
2020-01-03,FEU,Z01,18,0.10484962846,2020-01-03 18:00:00
2020-01-03,FEU,Z02,18,0.12352112926,2020-01-03 18:00:00
2020-01-03,FEU,Z03,18,0.12352112926,2020-01-03 18:00:00
2020-01-03,FEU,Z01,19,0.10695256442,2020-01-03 19:00:00
2020-01-03,FEU,Z02,19,0.12564131122,2020-01-03 19:00:00
2020-01-03,FEU,Z03,19,0.12564131122,2020-01-03 19:00:00
2020-01-03,FEU,Z01,2,0.09365124696,2020-01-03 02:00:00
2020-01-03,FEU,Z02,2,0.04483136016,2020-01-03 02:00:00
2020-01-03,FEU,Z03,2,0.0419912719,2020-01-03 02:00:00
2020-01-03,FEU,Z01,20,0.10886978138,2020-01-03 20:00:00
2020-01-03,FEU,Z02,20,0.12757414418,2020-01-03 20:00:00
2020-01-03,FEU,Z03,20,0.12757414418,2020-01-03 20:00:00
2020-01-03,FEU,Z01,21,0.10817396834,2020-01-03 21:00:00
2020-01-03,FEU,Z02,21,0.12692736812,2020-01-03 21:00:00
2020-01-03,FEU,Z03,21,0.12692736812,2020-01-03 21:00:00
2020-01-03,FEU,Z01,22,0.10668214314,2020-01-03 22:00:00
2020-01-03,FEU,Z02,22,0.12541702392,2020-01-03 22:00:00
2020-01-03,FEU,Z03,22,0.12541702392,2020-01-03 22:00:00
2020-01-03,FEU,Z01,23,0.10247036768,2020-01-03 23:00:00
2020-01-03,FEU,Z02,23,0.0536835117,2020-01-03 23:00:00
2020-01-03,FEU,Z03,23,0.12120771544,2020-01-03 23:00:00
2020-01-03,FEU,Z01,24,0.1014731156,2020-01-04 00:00:00
2020-01-03,FEU,Z02,24,0.05267724864,2020-01-04 00:00:00
2020-01-03,FEU,Z03,24,0.05619771548,2020-01-04 00:00:00
2020-01-03,FEU,Z01,3,0.09231714386,2020-01-03 03:00:00
2020-01-03,FEU,Z02,3,0.04351764008,2020-01-03 03:00:00
2020-01-03,FEU,Z03,3,0.04068759484,2020-01-03 03:00:00
2020-01-03,FEU,Z01,4,0.09216483982,2020-01-03 04:00:00
2020-01-03,FEU,Z02,4,0.04336747404,2020-01-03 04:00:00
2020-01-03,FEU,Z03,4,0.04050986882,2020-01-03 04:00:00
2020-01-03,FEU,Z01,5,0.09210063082,2020-01-03 05:00:00
2020-01-03,FEU,Z02,5,0.04330757404,2020-01-03 05:00:00
2020-01-03,FEU,Z03,5,0.04045075982,2020-01-03 05:00:00
2020-01-03,FEU,Z01,6,0.09253195896,2020-01-03 06:00:00
2020-01-03,FEU,Z02,6,0.04380176314,2020-01-03 06:00:00
2020-01-03,FEU,Z03,6,0.0409587019,2020-01-03 06:00:00
2020-01-03,FEU,Z01,7,0.09386453332,2020-01-03 07:00:00
2020-01-03,FEU,Z02,7,0.04525319242,2020-01-03 07:00:00
2020-01-03,FEU,Z03,7,0.04245893712,2020-01-03 07:00:00
2020-01-03,FEU,Z01,8,0.0999871556,2020-01-03 08:00:00
2020-01-03,FEU,Z02,8,0.05125462464,2020-01-03 08:00:00
2020-01-03,FEU,Z03,8,0.05470444748,2020-01-03 08:00:00
2020-01-03,FEU,Z01,9,0.1046740913,2020-01-03 09:00:00
2020-01-03,FEU,Z02,9,0.05622586716,2020-01-03 09:00:00
2020-01-03,FEU,Z03,9,0.05954913818,2020-01-03 09:00:00
2020-01-04,FEU,Z01,1,0.10132416116,2020-01-04 01:00:00
2020-01-04,FEU,Z02,1,0.0522812263,2020-01-04 01:00:00
2020-01-04,FEU,Z03,1,0.05596390304,2020-01-04 01:00:00
2020-01-04,FEU,Z01,10,0.09928937192,2020-01-04 10:00:00
2020-01-04,FEU,Z02,10,0.05078547288,2020-01-04 10:00:00
2020-01-04,FEU,Z03,10,0.0540656058,2020-01-04 10:00:00
2020-01-04,FEU,Z01,11,0.10190954404,2020-01-04 11:00:00
2020-01-04,FEU,Z02,11,0.05335620898,2020-01-04 11:00:00
2020-01-04,FEU,Z03,11,0.05667593294,2020-01-04 11:00:00
2020-01-04,FEU,Z01,12,0.0975785111,2020-01-04 12:00:00
2020-01-04,FEU,Z02,12,0.04924354702,2020-01-04 12:00:00
2020-01-04,FEU,Z03,12,0.05237939198,2020-01-04 12:00:00
2020-01-04,FEU,Z01,13,0.09543862432,2020-01-04 13:00:00
2020-01-04,FEU,Z02,13,0.1140721511,2020-01-04 13:00:00
2020-01-04,FEU,Z03,13,0.0502707262,2020-01-04 13:00:00
2020-01-04,FEU,Z01,14,0.0924745163,2020-01-04 14:00:00
2020-01-04,FEU,Z02,14,0.1110392411,2020-01-04 14:00:00
2020-01-04,FEU,Z03,14,0.1110392411,2020-01-04 14:00:00
2020-01-04,FEU,Z01,15,0.09240857522,2020-01-04 15:00:00
2020-01-04,FEU,Z02,15,0.11097314102,2020-01-04 15:00:00
2020-01-04,FEU,Z03,15,0.11097314102,2020-01-04 15:00:00
2020-01-04,FEU,Z01,16,0.09289142612,2020-01-04 16:00:00
2020-01-04,FEU,Z02,16,0.1114989159,2020-01-04 16:00:00
2020-01-04,FEU,Z03,16,0.1114989159,2020-01-04 16:00:00
2020-01-04,FEU,Z01,17,0.09342297208,2020-01-04 17:00:00
2020-01-04,FEU,Z02,17,0.11203488386,2020-01-04 17:00:00
2020-01-04,FEU,Z03,17,0.11203488386,2020-01-04 17:00:00
2020-01-04,FEU,Z01,18,0.10417445714,2020-01-04 18:00:00
2020-01-04,FEU,Z02,18,0.1229367759,2020-01-04 18:00:00
2020-01-04,FEU,Z03,18,0.1229367759,2020-01-04 18:00:00
2020-01-04,FEU,Z01,19,0.10693239216,2020-01-04 19:00:00
2020-01-04,FEU,Z02,19,0.12566992394,2020-01-04 19:00:00
2020-01-04,FEU,Z03,19,0.12566992394,2020-01-04 19:00:00
2020-01-04,FEU,Z01,2,0.09506268704,2020-01-04 02:00:00
2020-01-04,FEU,Z02,2,0.04622105522,2020-01-04 02:00:00
2020-01-04,FEU,Z03,2,0.04333487296,2020-01-04 02:00:00
2020-01-04,FEU,Z01,20,0.10625077118,2020-01-04 20:00:00
2020-01-04,FEU,Z02,20,0.12498235196,2020-01-04 20:00:00
2020-01-04,FEU,Z03,20,0.12498235196,2020-01-04 20:00:00
2020-01-04,FEU,Z01,21,0.10699757208,2020-01-04 21:00:00
2020-01-04,FEU,Z02,21,0.12573433386,2020-01-04 21:00:00
2020-01-04,FEU,Z03,21,0.12573433386,2020-01-04 21:00:00
2020-01-04,FEU,Z01,22,0.10733329592,2020-01-04 22:00:00
2020-01-04,FEU,Z02,22,0.1260704207,2020-01-04 22:00:00
2020-01-04,FEU,Z03,22,0.1260704207,2020-01-04 22:00:00
2020-01-04,FEU,Z01,23,0.10397101948,2020-01-04 23:00:00
2020-01-04,FEU,Z02,23,0.05501287954,2020-01-04 23:00:00
2020-01-04,FEU,Z03,23,0.12277005722,2020-01-04 23:00:00
2020-01-04,FEU,Z01,24,0.10160079936,2020-01-05 00:00:00
2020-01-04,FEU,Z02,24,0.05264824946,2020-01-05 00:00:00
2020-01-04,FEU,Z03,24,0.05632324022,2020-01-05 00:00:00
2020-01-04,FEU,Z01,3,0.09431105096,2020-01-04 03:00:00
2020-01-04,FEU,Z02,3,0.04549701614,2020-01-04 03:00:00
2020-01-04,FEU,Z03,3,0.0426011119,2020-01-04 03:00:00
2020-01-04,FEU,Z01,4,0.09353053284,2020-01-04 04:00:00
2020-01-04,FEU,Z02,4,0.04467017206,2020-01-04 04:00:00
2020-01-04,FEU,Z03,4,0.04176916684,2020-01-04 04:00:00
2020-01-04,FEU,Z01,5,0.0932639948,2020-01-04 05:00:00
2020-01-04,FEU,Z02,5,0.04441258202,2020-01-04 05:00:00
2020-01-04,FEU,Z03,5,0.0415207768,2020-01-04 05:00:00
2020-01-04,FEU,Z01,6,0.09316068084,2020-01-04 06:00:00
2020-01-04,FEU,Z02,6,0.04431825406,2020-01-04 06:00:00
2020-01-04,FEU,Z03,6,0.04142755684,2020-01-04 06:00:00
2020-01-04,FEU,Z01,7,0.09304027096,2020-01-04 07:00:00
2020-01-04,FEU,Z02,7,0.04428612114,2020-01-04 07:00:00
2020-01-04,FEU,Z03,7,0.0414287869,2020-01-04 07:00:00
2020-01-04,FEU,Z01,8,0.09339520614,2020-01-04 08:00:00
2020-01-04,FEU,Z02,8,0.04471410028,2020-01-04 08:00:00
2020-01-04,FEU,Z03,8,0.048028975,2020-01-04 08:00:00
2020-01-04,FEU,Z01,9,0.0948358457,2020-01-04 09:00:00
2020-01-04,FEU,Z02,9,0.0464092517,2020-01-04 09:00:00
2020-01-04,FEU,Z03,9,0.04958503756,2020-01-04 09:00:00
2020-01-05,FEU,Z01,1,0.09745106696,2020-01-05 01:00:00
2020-01-05,FEU,Z02,1,0.04848906014,2020-01-05 01:00:00
2020-01-05,FEU,Z03,1,0.0521122148,2020-01-05 01:00:00
2020-01-05,FEU,Z01,10,0.09921851954,2020-01-05 10:00:00
2020-01-05,FEU,Z02,10,0.0504716266,2020-01-05 10:00:00
2020-01-05,FEU,Z03,10,0.05392057442,2020-01-05 10:00:00
2020-01-05,FEU,Z01,11,0.10159064978,2020-01-05 11:00:00
2020-01-05,FEU,Z02,11,0.05289378778,2020-01-05 11:00:00
2020-01-05,FEU,Z03,11,0.05635030466,2020-01-05 11:00:00
2020-01-05,FEU,Z01,12,0.10277201584,2020-01-05 12:00:00
2020-01-05,FEU,Z02,12,0.05407674982,2020-01-05 12:00:00
2020-01-05,FEU,Z03,12,0.05755025172,2020-01-05 12:00:00
2020-01-05,FEU,Z01,13,0.10156916006,2020-01-05 13:00:00
2020-01-05,FEU,Z02,13,0.12025569584,2020-01-05 13:00:00
2020-01-05,FEU,Z03,13,0.05633792596,2020-01-05 13:00:00
2020-01-05,FEU,Z01,14,0.0980887761,2020-01-05 14:00:00
2020-01-05,FEU,Z02,14,0.11678925686,2020-01-05 14:00:00
2020-01-05,FEU,Z03,14,0.11678925686,2020-01-05 14:00:00
2020-01-05,FEU,Z01,15,0.09704809106,2020-01-05 15:00:00
2020-01-05,FEU,Z02,15,0.11573872682,2020-01-05 15:00:00
2020-01-05,FEU,Z03,15,0.11573872682,2020-01-05 15:00:00
2020-01-05,FEU,Z01,16,0.09955362788,2020-01-05 16:00:00
2020-01-05,FEU,Z02,16,0.11821912066,2020-01-05 16:00:00
2020-01-05,FEU,Z03,16,0.11821912066,2020-01-05 16:00:00
2020-01-05,FEU,Z01,17,0.10496815984,2020-01-05 17:00:00
2020-01-05,FEU,Z02,17,0.1237329956,2020-01-05 17:00:00
2020-01-05,FEU,Z03,17,0.1237329956,2020-01-05 17:00:00
2020-01-05,FEU,Z01,18,0.10936203592,2020-01-05 18:00:00
2020-01-05,FEU,Z02,18,0.12817210368,2020-01-05 18:00:00
2020-01-05,FEU,Z03,18,0.12817210368,2020-01-05 18:00:00
2020-01-05,FEU,Z01,19,0.11028561812,2020-01-05 19:00:00
2020-01-05,FEU,Z02,19,0.1290545609,2020-01-05 19:00:00
2020-01-05,FEU,Z03,19,0.1290545609,2020-01-05 19:00:00
2020-01-05,FEU,Z01,2,0.09674686278,2020-01-05 02:00:00
2020-01-05,FEU,Z02,2,0.04768705102,2020-01-05 02:00:00
2020-01-05,FEU,Z03,2,0.0446887368,2020-01-05 02:00:00
2020-01-05,FEU,Z01,20,0.11238347612,2020-01-05 20:00:00
2020-01-05,FEU,Z02,20,0.1311705409,2020-01-05 20:00:00
2020-01-05,FEU,Z03,20,0.1311705409,2020-01-05 20:00:00
2020-01-05,FEU,Z01,21,0.11711220506,2020-01-05 21:00:00
2020-01-05,FEU,Z02,21,0.13594157584,2020-01-05 21:00:00
2020-01-05,FEU,Z03,21,0.13594157584,2020-01-05 21:00:00
2020-01-05,FEU,Z01,22,0.11808494004,2020-01-05 22:00:00
2020-01-05,FEU,Z02,22,0.13692282482,2020-01-05 22:00:00
2020-01-05,FEU,Z03,22,0.13692282482,2020-01-05 22:00:00
2020-01-05,FEU,Z01,23,0.11511417962,2020-01-05 23:00:00
2020-01-05,FEU,Z02,23,0.06573712066,2020-01-05 23:00:00
2020-01-05,FEU,Z03,23,0.13403346336,2020-01-05 23:00:00
2020-01-05,FEU,Z01,24,0.11138832458,2020-01-06 00:00:00
2020-01-05,FEU,Z02,24,0.06216714162,2020-01-06 00:00:00
2020-01-05,FEU,Z03,24,0.06620939144,2020-01-06 00:00:00
2020-01-05,FEU,Z01,3,0.09570435072,2020-01-05 03:00:00
2020-01-05,FEU,Z02,3,0.04669017796,2020-01-05 03:00:00
2020-01-05,FEU,Z03,3,0.04369173276,2020-01-05 03:00:00
2020-01-05,FEU,Z01,4,0.09477555362,2020-01-05 04:00:00
2020-01-05,FEU,Z02,4,0.0457251159,2020-01-05 04:00:00
2020-01-05,FEU,Z03,4,0.0427607367,2020-01-05 04:00:00
2020-01-05,FEU,Z01,5,0.0948028446,2020-01-05 05:00:00
2020-01-05,FEU,Z02,5,0.04578405486,2020-01-05 05:00:00
2020-01-05,FEU,Z03,5,0.04278502068,2020-01-05 05:00:00
2020-01-05,FEU,Z01,6,0.09461890664,2020-01-05 06:00:00
2020-01-05,FEU,Z02,6,0.0456142559,2020-01-05 06:00:00
2020-01-05,FEU,Z03,6,0.0426547217,2020-01-05 06:00:00
2020-01-05,FEU,Z01,7,0.09485284078,2020-01-05 07:00:00
2020-01-05,FEU,Z02,7,0.045921376,2020-01-05 07:00:00
2020-01-05,FEU,Z03,7,0.0429464168,2020-01-05 07:00:00
